City Name,Longitude,Latitude,Max Temperature,Humidtiy,Cloud Coverage,Wind Speed,City Country,Date Time
Kabompo,24.2,-13.59,52.18,63,0,3.65,ZM,1594344711
Jiuquan,98.52,39.74,77.58,19,1,2.8,CN,1594344712
Vila Velha,-40.29,-20.33,73.4,83,40,9.17,BR,1594344712
Salalah,54.09,17.02,82.4,88,75,3.36,OM,1594344712
Santa Cruz de la Sierra,-63.17,-17.8,60.8,82,90,3.36,BO,1594344712
Lavrentiya,-171.0,65.58,53.89,69,24,7.02,RU,1594344712
Meulaboh,96.13,4.14,81.27,69,76,4.38,ID,1594344713
Flinders,150.86,-34.58,64.0,80,95,5.99,AU,1594344713
Tiksi,128.87,71.69,36.81,88,99,9.15,RU,1594344713
Puteyets,57.09,65.17,76.21,65,0,8.52,RU,1594344713
Ningyang,116.79,35.76,83.53,58,52,2.37,CN,1594344713
Te Anau,167.72,-45.42,45.61,83,53,0.25,NZ,1594344714
Khatanga,102.5,71.97,57.94,52,0,19.13,RU,1594344714
Ponta do Sol,-17.1,32.67,69.01,66,0,5.41,PT,1594344714
Aranos,19.12,-24.13,51.17,44,0,12.21,NA,1594344714
Ancud,-73.82,-41.87,43.0,93,90,6.93,CL,1594344715
Marang,103.21,5.21,75.2,94,40,5.82,MY,1594344715
Tuktoyaktuk,-133.04,69.45,39.2,93,90,9.17,CA,1594344715
Boa Vista,-60.67,2.82,78.8,83,75,5.82,BR,1594344558
Sitka,-135.33,57.05,55.4,87,90,8.05,US,1594344715
Dunedin,170.5,-45.87,52.0,61,17,27.0,NZ,1594344605
Mnogovershinnyy,139.92,53.94,58.6,72,72,3.13,RU,1594344716
Lebu,-73.65,-37.62,54.14,94,100,24.43,CL,1594344716
Narón,-8.15,43.52,61.0,100,90,6.93,ES,1594344716
Mayahi,7.67,13.96,88.07,49,100,14.56,NE,1594344716
Härnösand,17.94,62.63,51.01,100,28,14.99,SE,1594344717
Tateyama,139.87,34.98,80.01,88,75,16.11,JP,1594344718
Qasigiannguit,-51.19,68.82,44.6,81,100,6.93,GL,1594344718
The Pas,-101.25,53.83,68.0,64,20,8.05,CA,1594344718
Kirakira,161.92,-10.45,82.89,76,58,14.0,SB,1594344719
Hermanus,19.23,-34.42,51.01,85,100,9.64,ZA,1594344719
Bredasdorp,20.04,-34.53,51.8,87,100,6.93,ZA,1594344719
Saint George,-113.58,37.1,100.99,4,1,13.87,US,1594344526
Gubkinskiy,76.5,64.43,63.27,60,0,25.17,RU,1594344719
Saint-Philippe,55.77,-21.36,68.0,82,98,25.28,RE,1594344720
Qaanaaq,-69.36,77.48,46.47,55,0,2.93,GL,1594344720
Bengkulu,102.27,-3.8,81.54,72,100,5.17,ID,1594344720
Koumac,164.28,-20.57,74.37,61,77,7.9,NC,1594344720
Cayenne,-52.33,4.93,75.2,100,90,7.36,GF,1594344721
Maragheh,46.24,37.39,75.2,38,40,11.41,IR,1594344721
Novoorsk,58.98,51.38,68.0,60,0,4.18,RU,1594344721
Omboué,9.26,-1.57,73.29,83,97,8.41,GA,1594344721
Baykit,96.37,61.67,58.93,56,94,6.15,RU,1594344721
Yeppoon,150.73,-23.13,75.2,50,75,12.75,AU,1594344722
Marabba,32.18,12.35,79.2,67,100,8.05,SD,1594344722
Cherskiy,161.3,68.75,60.75,70,91,5.14,RU,1594344722
Souillac,57.52,-20.52,69.8,77,75,16.11,MU,1594344722
Cabo San Lucas,-109.91,22.89,86.0,58,40,10.29,MX,1594344722
Talnakh,88.4,69.49,55.4,87,0,29.08,RU,1594344723
Nyurba,118.33,63.28,76.66,47,51,5.75,RU,1594344723
Ushuaia,-68.3,-54.8,35.6,69,75,8.05,AR,1594344723
Şuraabad,49.47,40.82,80.6,65,78,24.16,AZ,1594344723
San Quintín,-115.95,30.48,68.52,75,1,9.71,MX,1594344723
Pevek,170.31,69.7,43.52,98,95,3.56,RU,1594344724
Beringovskiy,179.32,63.05,61.5,56,95,12.24,RU,1594344724
Shingū,135.98,33.73,80.6,88,75,11.41,JP,1594344724
Tasiilaq,-37.64,65.61,37.4,86,100,6.93,GL,1594344724
Venice,-82.45,27.1,86.0,74,40,9.17,US,1594344725
Corvallis,-123.26,44.56,77.0,56,20,11.41,US,1594344562
Chapecó,-52.62,-27.1,51.01,70,0,1.88,BR,1594344598
Tsukumiura,131.86,33.07,73.4,94,75,13.87,JP,1594344725
Port Macquarie,152.92,-31.43,62.01,88,89,8.1,AU,1594344666
Nísia Floresta,-35.21,-6.09,75.2,100,40,3.36,BR,1594344518
Kavaratti,72.64,10.57,83.8,72,100,14.34,IN,1594344726
Chumikan,135.31,54.72,51.96,83,100,5.26,RU,1594344726
Bonavista,-53.11,48.65,53.01,86,100,5.01,CA,1594344727
Del Rio,-100.9,29.36,100.4,33,1,11.41,US,1594344727
Nizwá,57.53,22.93,90.1,38,100,4.7,OM,1594344727
Charters Towers,146.27,-20.1,73.71,61,64,14.94,AU,1594344727
Ngorongoro,35.49,-3.24,50.54,100,92,7.07,TZ,1594344727
Camopi,-52.32,3.17,73.44,96,97,2.1,GF,1594344728
Pacific Grove,-121.92,36.62,62.6,72,1,8.05,US,1594344728
Asău,26.4,46.43,57.99,88,0,4.59,RO,1594344728
North Branch,-92.98,45.51,77.0,95,100,3.0,US,1594344728
Havre-St-Pierre,-63.6,50.23,60.8,93,90,8.63,CA,1594344728
Lamar,-95.58,33.67,88.0,66,1,6.93,US,1594344729
Kalmar,16.36,56.66,48.99,100,61,3.74,SE,1594344729
Dubuque,-90.87,42.48,69.01,94,75,9.17,US,1594344729
Chibombo,28.07,-14.66,54.7,96,0,4.54,ZM,1594344729
Saint Paul Harbor,-152.41,57.79,69.8,43,1,12.75,US,1594344730
Sioux Lookout,-91.92,50.1,71.6,53,40,8.05,CA,1594344653
Rundu,19.77,-17.93,50.0,61,0,1.12,NA,1594344730
Ca Mau,105.15,9.18,85.06,73,100,4.07,VN,1594344730
Bathsheba,-59.52,13.22,82.4,74,40,20.8,BB,1594344730
Adoni,77.28,15.63,75.0,85,100,11.77,IN,1594344731
Katsuura,140.3,35.13,82.99,80,97,4.0,JP,1594344731
San Andrés,-81.7,12.58,82.4,83,75,5.82,CO,1594344731
Provideniya,-173.3,64.38,55.4,71,18,15.66,RU,1594344731
Olden,6.81,61.84,45.0,95,54,1.23,NO,1594344731
Ihosy,46.12,-22.4,55.36,87,93,6.6,MG,1594344732
Poum,164.02,-20.23,72.28,70,59,13.69,NC,1594344732
Portland,-122.68,45.52,75.99,47,75,6.93,US,1594344362
Dikson,80.55,73.51,44.51,79,0,13.91,RU,1594344732
Constantine,6.61,36.37,68.0,49,0,5.82,DZ,1594344732
Leningradskiy,178.42,69.38,46.29,82,100,8.01,RU,1594344733
Severo-Kuril'sk,156.12,50.68,49.62,94,100,6.04,RU,1594344733
Alexander City,-85.95,32.94,79.0,94,1,3.83,US,1594344733
Demirci,28.66,39.05,73.0,41,0,7.56,TR,1594344733
Calama,-68.93,-22.47,44.6,4,0,6.93,CL,1594344734
Hofn,-15.21,64.25,51.3,66,52,6.15,IS,1594344734
Fort Nelson,-122.7,58.81,62.6,82,75,4.7,CA,1594344619
Sarangani,125.46,5.4,84.11,73,100,14.03,PH,1594344734
Vostok,135.88,46.49,59.72,89,98,2.75,RU,1594344735
Fuerte Olimpo,-57.87,-21.04,58.86,75,74,1.86,PY,1594344735
Yichang,111.28,30.71,86.0,59,92,1.01,CN,1594344735
Lufilufi,-171.6,-13.87,84.2,83,75,12.75,WS,1594344735
Payo,103.64,-3.75,80.19,75,84,1.32,ID,1594344736
Lakes Entrance,147.98,-37.88,58.64,55,100,2.39,AU,1594344736
Kiruna,20.23,67.86,46.4,100,100,10.29,SE,1594344736
Cidreira,-50.21,-30.18,49.28,76,0,9.69,BR,1594344736
Kaitangata,169.85,-46.28,50.0,69,49,11.01,NZ,1594344737
Almaznyy,40.05,48.04,57.2,82,0,8.95,RU,1594344737
Agüimes,-15.45,27.91,71.6,73,40,23.04,ES,1594344737
Hirara,125.28,24.8,89.6,70,75,20.8,JP,1594344737
Airai,125.41,-8.93,69.93,68,9,5.7,TL,1594344737
Lata,-8.33,40.16,62.6,88,90,10.29,PT,1594344738
Matara,80.54,5.95,81.16,81,98,9.44,LK,1594344673
Sotouboua,0.98,8.57,69.84,96,97,3.11,TG,1594344738
Sambava,50.17,-14.27,69.48,81,54,12.97,MG,1594344738
Karoi,29.69,-16.81,55.56,95,9,6.62,ZW,1594344739
Novy Urengoy,76.63,66.08,62.58,60,0,21.39,RU,1594344731
Muros,-9.06,42.78,64.0,81,17,5.01,ES,1594344739
Birao,22.79,10.28,71.65,93,100,1.88,CF,1594344739
Abu Samrah,37.18,35.3,67.57,81,0,8.39,SY,1594344739
East London,27.91,-33.02,65.8,59,100,4.72,ZA,1594344740
Longyearbyen,15.64,78.22,48.2,76,75,11.41,SJ,1594344740
Siocon,122.14,7.71,82.22,76,100,2.62,PH,1594344740
Fortuna,-124.16,40.6,66.0,87,75,14.99,US,1594344740
Keetmanshoop,18.13,-26.58,62.6,20,1,3.36,NA,1594344740
Nome,-165.41,64.5,66.0,63,1,12.75,US,1594344741
Margate,1.39,51.38,59.0,100,100,4.0,GB,1594344741
Ribeira Grande,-28.7,38.52,68.72,71,53,1.74,PT,1594344741
Hauterive,3.45,46.09,64.4,72,11,3.36,FR,1594344741
Ostrovnoy,39.51,68.05,58.01,84,87,22.21,RU,1594344742
Honiara,159.95,-9.43,89.6,66,20,13.87,SB,1594344742
Salinópolis,-47.36,-0.61,79.66,83,36,12.95,BR,1594344742
Mananjary,48.33,-21.22,65.08,84,71,2.04,MG,1594344742
Bestöbe,73.1,52.5,76.66,67,0,14.74,KZ,1594344742
Aklavik,-135.01,68.22,44.6,75,75,12.75,CA,1594344743
Grindavik,-22.43,63.84,50.0,76,90,9.17,IS,1594344743
New Norfolk,147.06,-42.78,44.01,91,100,5.01,AU,1594344743
Codrington,141.97,-38.27,55.51,69,100,9.82,AU,1594344743
Honningsvåg,25.97,70.98,45.07,91,100,16.4,NO,1594344744
Shenjiamen,122.3,29.96,76.89,91,40,5.39,CN,1594344744
Pingzhuang,119.29,42.04,73.02,56,100,8.9,CN,1594344744
Alakurtti,30.35,66.97,52.0,90,83,3.0,RU,1594344745
Bambous Virieux,57.76,-20.34,71.01,77,75,16.11,MU,1594344745
Pozo Colorado,-58.8,-23.49,51.62,80,0,4.12,PY,1594344745
Caravelas,-39.25,-17.71,70.39,88,0,4.52,BR,1594344745
Mbigou,11.91,-1.9,66.85,96,100,4.61,GA,1594344746
Plomari,26.37,38.98,73.4,64,0,13.35,GR,1594344746
Tricase,18.36,39.93,69.01,93,5,3.36,IT,1594344746
Zhigansk,123.37,66.77,71.15,40,65,9.78,RU,1594344746
Ribeira Brava,-17.07,32.65,69.01,65,0,4.83,PT,1594344746
Baruun-Urt,113.28,46.68,72.1,59,100,10.07,MN,1594344747
Millinocket,-68.71,45.66,75.2,78,1,5.79,US,1594344573
Saint-Louis,-15.0,16.33,82.4,61,18,4.7,SN,1594344747
Rossland,-117.8,49.08,62.01,86,97,3.8,CA,1594344747
Pedernales,-71.74,18.04,81.14,65,3,7.2,DO,1594344747
Solton,86.48,52.84,64.9,81,100,11.7,RU,1594344748
Vestmannaeyjar,-20.27,63.44,51.04,80,94,19.98,IS,1594344748
Los Llanos de Aridane,-17.92,28.66,71.6,78,75,16.11,ES,1594344748
Vila,-8.16,42.03,66.99,87,0,10.29,PT,1594344748
Myitkyina,97.4,25.38,75.96,96,100,3.2,MM,1594344707
Nanortalik,-45.24,60.14,44.55,95,100,6.82,GL,1594344749
Guerrero Negro,-114.06,27.98,70.7,68,0,15.43,MX,1594344749
Mocuba,36.99,-16.84,62.51,98,16,0.87,MZ,1594344749
Isangel,169.27,-19.55,77.0,69,75,8.05,VU,1594344750
Mogadishu,45.34,2.04,77.67,84,77,13.24,SO,1594344750
San Antonio,-98.49,29.42,95.0,52,1,11.41,US,1594344750
Yulara,130.99,-25.24,60.8,21,0,6.93,AU,1594344750
Storslett,21.02,69.77,47.64,80,70,3.62,NO,1594344751
Hualmay,-77.61,-11.1,60.13,82,71,10.29,PE,1594344751
Bonthe,-12.51,7.53,76.26,90,100,12.19,SL,1594344751
Labytnangi,66.42,66.66,60.46,58,0,0.65,RU,1594344751
Poplar Bluff,-90.39,36.76,84.2,66,1,4.7,US,1594344692
Mount Gambier,140.77,-37.83,48.2,81,75,10.29,AU,1594344752
Alofi,-169.92,-19.06,78.8,83,75,10.29,NU,1594344752
Ayr,-4.63,55.46,53.6,81,40,14.99,GB,1594344752
São Filipe,-24.5,14.9,73.71,84,18,5.23,CV,1594344752
Miraflores,-98.81,19.22,59.0,77,90,13.87,MX,1594344752
Stornoway,-6.39,58.21,46.0,93,89,5.82,GB,1594344753
Avera,-82.53,33.19,80.6,88,1,5.1,US,1594344753
Padang,100.35,-0.95,82.72,64,71,3.33,ID,1594344712
Mareeba,145.43,-17.0,77.0,69,75,17.22,AU,1594344753
Grieskirchen,13.83,48.23,62.01,89,0,2.33,AT,1594344753
Kaka,59.61,37.35,88.81,17,0,5.41,TM,1594344753
Clyde River,-68.59,70.47,46.4,81,1,3.36,CA,1594344754
Castro,-50.01,-24.79,45.99,63,89,1.1,BR,1594344754
Thompson,-97.86,55.74,60.8,87,90,9.17,CA,1594344754
Tongzi,105.09,28.78,78.66,81,100,0.98,CN,1594344754
Blagoyevo,47.92,63.37,65.46,92,100,7.67,RU,1594344754
Cowra,148.68,-33.83,60.46,55,60,2.95,AU,1594344755
Kittery,-70.74,43.09,73.99,88,20,5.82,US,1594344755
Bandar-e Lengeh,54.88,26.56,89.6,43,0,1.03,IR,1594344755
Arraial do Cabo,-42.03,-22.97,71.6,78,75,11.41,BR,1594344755
Torbay,-52.73,47.67,53.01,87,90,4.7,CA,1594344755
Chernyshevskiy,112.47,63.01,65.62,73,100,2.46,RU,1594344756
Kidal,1.41,18.44,90.66,28,96,7.14,ML,1594344756
Boddam,-1.78,57.47,53.01,87,100,4.7,GB,1594344756
Chifeng,118.96,42.27,72.5,57,100,4.99,CN,1594344756
Cockburn Town,-71.14,21.46,83.23,81,100,20.69,TC,1594344756
High Level,-117.14,58.52,68.0,72,75,10.29,CA,1594344757
Naberera,36.93,-4.2,57.43,94,39,10.38,TZ,1594344757
Norman Wells,-126.83,65.28,64.4,55,75,3.36,CA,1594344627
Cap Malheureux,57.61,-19.98,71.01,75,79,8.01,MU,1594344757
Iberia,-91.75,29.95,84.2,79,1,10.29,US,1594344757
Torrington,-73.12,41.8,77.0,86,0,2.91,US,1594344634
Misratah,15.09,32.38,73.67,81,0,5.53,LY,1594344758
Narsaq,-46.05,60.92,50.0,81,99,6.93,GL,1594344758
Makkah al Mukarramah,39.83,21.43,85.26,15,0,6.64,SA,1594344758
Shar,81.05,49.59,76.53,51,31,8.25,KZ,1594344758
Quang Ngai,108.8,15.12,88.23,59,100,2.64,VN,1594344531
Brae,-1.35,60.4,48.2,93,84,2.24,GB,1594344759
Suntar,117.63,62.14,75.56,53,100,6.64,RU,1594344759
Anadyr,177.48,64.75,59.0,77,100,4.47,RU,1594344759
Kokopo,152.26,-4.35,81.52,76,67,5.32,PG,1594344760
Bondoukou,-2.8,8.03,70.68,91,100,8.63,CI,1594344760
Grants,-107.85,35.15,91.4,20,1,13.87,US,1594344760
Ormara,64.64,25.21,85.98,84,14,11.86,PK,1594344760
Pangnirtung,-65.71,66.15,49.21,52,0,0.47,CA,1594344760
Daru,143.21,-9.08,80.8,84,100,19.53,PG,1594344761
Bilma,12.92,18.69,90.41,18,95,5.41,NE,1594344761
Salamiyah,37.05,35.01,65.71,87,0,5.32,SY,1594344761
Dingle,122.67,11.0,87.37,67,94,1.99,PH,1594344761
Bontang,117.5,0.13,80.82,82,40,5.66,ID,1594344761
Krasnoarmeyskoye,50.03,52.72,72.1,65,52,9.1,RU,1594344762
São Félix do Xingu,-51.99,-6.64,73.49,68,6,1.99,BR,1594344762
Tautira,-149.15,-17.73,82.4,58,40,8.05,PF,1594344762
Türje,17.11,46.98,64.4,88,0,5.66,HU,1594344762
Saldanha,17.94,-33.01,53.6,93,100,5.82,ZA,1594344762
Esim,-2.24,4.87,75.24,90,100,6.62,GH,1594344763
Naifaru,73.37,5.44,83.3,77,100,11.86,MV,1594344645
Port-Gentil,8.78,-0.72,74.59,84,99,14.07,GA,1594344763
Kapaa,-159.32,22.08,82.4,74,90,17.22,US,1594344763
Waipawa,175.52,-41.41,55.4,66,9,8.05,NZ,1594344763
Ilulissat,-51.1,69.22,44.6,81,100,6.93,GL,1594344764
Grand Gaube,57.66,-20.01,71.01,75,87,8.01,MU,1594344764
Dodge City,-100.02,37.75,87.8,48,1,14.99,US,1594344764
‘Āhuimanu,-157.84,21.44,87.8,62,75,16.11,US,1594344764
Obo,26.49,5.4,66.69,93,97,1.03,CF,1594344765
Lompoc,-120.46,34.64,64.0,72,1,12.75,US,1594344765
Rocha,-54.33,-34.48,41.2,82,0,7.43,UY,1594344765
Flin Flon,-101.86,54.77,66.09,63,100,7.49,CA,1594344765
Provost,-110.27,52.35,66.78,68,94,5.57,CA,1594344766
Mpika,31.45,-11.83,56.62,94,63,8.34,ZM,1594344766
Saint-Joseph,55.62,-21.37,68.0,82,65,25.28,RE,1594344766
La Unión,-80.75,-5.4,66.2,71,0,15.1,PE,1594344766
Kieta,155.63,-6.22,83.08,75,100,7.76,PG,1594344766
Alihe,123.72,50.57,86.34,27,60,6.02,CN,1594344767
Wete,39.73,-5.06,74.41,83,24,8.95,TZ,1594344767
Ust'-Ilimsk,102.66,58.0,68.38,53,0,8.32,RU,1594344767
Esperance,121.9,-33.87,48.2,93,75,12.75,AU,1594344641
Marawi,124.29,8.0,82.0,81,68,5.01,PH,1594344767
Tiarei,-149.33,-17.53,82.4,58,40,8.05,PF,1594344768
Pennāgaram,77.9,12.13,77.0,88,75,1.21,IN,1594344627
Mwinilunga,24.43,-11.74,52.66,61,1,2.73,ZM,1594344768
Florø,5.03,61.6,50.0,87,37,6.93,NO,1594344768
Labuhan,112.21,-6.88,80.51,74,84,7.14,ID,1594344768
Udachny,112.4,66.42,53.6,100,90,6.71,RU,1594344769
Ambon City,128.18,-3.7,84.2,74,75,4.7,ID,1594344769
Gijang,129.21,35.24,71.6,94,90,5.82,KR,1594344731
Japura,102.35,-0.32,74.86,89,99,1.41,ID,1594344769
Chu,73.76,43.6,82.0,65,100,5.03,KZ,1594344769
Ondjiva,15.73,-17.07,50.04,42,0,3.13,AO,1594344769
Nanchong,106.08,30.8,76.28,90,100,4.12,CN,1594344770
Pervomayskoye,46.71,43.92,72.52,68,27,9.71,RU,1594344770
Nueva Armenia,-86.5,15.8,77.81,86,100,3.96,HN,1594344770
Magadan,150.8,59.57,52.65,95,100,3.04,RU,1594344770
Port Keats,129.55,-14.25,85.28,39,7,7.27,AU,1594344770
Sánchez,-69.61,19.23,78.66,86,100,6.82,DO,1594344771
Coffs Harbour,153.13,-30.3,62.6,82,75,5.82,AU,1594344658
St-Jean-Port-Joli,-70.27,47.22,73.99,80,89,5.99,CA,1594344771
Port Hardy,-127.42,50.7,60.8,77,90,4.7,CA,1594344771
Korla,86.15,41.76,82.0,74,100,4.27,CN,1594344772
Rafaela,-61.49,-31.25,48.0,54,0,4.0,AR,1594344772
Sept-Îles,-66.38,50.2,62.01,100,90,2.53,CA,1594344570
Huarmey,-78.15,-10.07,61.66,82,77,9.6,PE,1594344772
Batangafo,18.28,7.3,68.56,97,98,2.44,CF,1594344772
Vanimo,141.3,-2.67,87.17,61,13,7.43,PG,1594344773
Tuatapere,167.68,-46.13,50.31,76,92,8.66,NZ,1594344773
Podgornoye,39.15,51.73,51.8,93,0,6.71,RU,1594344773
Serrinha,-39.01,-11.66,65.97,99,14,5.26,BR,1594344773
Fairbanks,-147.72,64.84,66.2,72,20,1.88,US,1594344773
Gunjur,-16.73,13.2,80.6,88,40,3.36,GM,1594344773
Chennai,80.28,13.09,77.0,100,90,4.7,IN,1594344663
Tamandaré,-35.1,-8.76,75.72,86,88,8.3,BR,1594344774
Adrar,-10.07,20.5,90.86,11,0,5.97,MR,1594344774
Mahébourg,57.7,-20.41,69.8,77,75,16.11,MU,1594344774
Preobrazheniye,133.91,42.9,79.05,51,10,3.91,RU,1594344774
Jalu,21.55,29.03,78.93,50,0,10.02,LY,1594344775
St. George's,-61.75,12.06,82.4,78,20,17.22,GD,1594344597
Tolaga Bay,178.3,-38.37,55.96,57,0,8.99,NZ,1594344775
Luza,47.25,60.63,59.4,94,100,8.77,RU,1594344775
Luoyang,112.45,34.68,85.46,52,66,5.03,CN,1594344603
Rurrenabaque,-67.53,-14.44,63.55,78,98,1.88,BO,1594344776
Mastic Beach,-72.85,40.77,75.99,88,1,4.7,US,1594344776
Finschhafen,147.87,-6.6,82.69,71,100,10.54,PG,1594344776
Manokwari,134.08,-0.87,84.47,68,100,10.09,ID,1594344777
Pelaya,-73.66,8.69,76.95,86,87,3.11,CO,1594344777
Nioro,-15.75,13.35,79.95,75,6,8.95,GM,1594344777
Khakhea,23.49,-24.69,54.23,52,0,13.06,BW,1594344777
Maniitsoq,-52.9,65.42,39.58,95,100,9.1,GL,1594344777
Mandalgovi,106.27,45.76,56.44,70,100,17.4,MN,1594344778
Yangi Marg`ilon,71.72,40.43,75.2,44,97,2.24,UZ,1594344778
Bella Vista,-94.23,36.43,75.2,83,1,3.29,US,1594344778
San Patricio,-104.7,19.22,84.2,74,75,3.6,MX,1594344778
Northam,-4.22,51.03,57.0,94,0,5.01,GB,1594344779
Voi,38.56,-3.39,66.94,86,28,8.52,KE,1594344779
Tūkrah,20.58,32.53,74.25,79,0,14.03,LY,1594344779
Gamba,10.0,-2.65,72.66,87,100,6.22,GA,1594344779
Freeport,-73.58,40.66,79.0,78,1,6.93,US,1594344528
Kahului,-156.47,20.89,89.6,52,40,24.16,US,1594344780
Coos Bay,-124.22,43.37,71.01,77,40,11.41,US,1594344729
Annau,58.52,37.89,89.6,21,20,11.41,TM,1594344780
Vila Franca do Campo,-25.43,37.72,66.2,77,75,8.05,PT,1594344780
Matagami,-77.63,49.75,77.0,73,75,3.36,CA,1594344781
Faya,42.45,18.39,73.4,37,20,5.1,SA,1594344781
Davila,120.58,18.47,87.8,74,40,4.7,PH,1594344781
Lüderitz,15.16,-26.65,55.4,76,0,11.41,NA,1594344781
Mianyang,104.75,31.46,79.9,63,100,3.85,CN,1594344781
Bambanglipuro,110.28,-7.95,80.44,74,89,13.06,ID,1594344782
Grenå,10.88,56.42,45.0,93,0,1.12,DK,1594344782
Kandrian,149.55,-6.22,81.99,80,99,10.65,PG,1594344782
Kushima,131.23,31.46,77.0,88,75,5.82,JP,1594344782
Wanning,110.4,18.8,87.22,73,100,15.48,CN,1594344783
Pangody,74.49,65.85,60.6,61,0,19.86,RU,1594344783
Launceston,147.17,-41.45,51.01,87,75,6.93,AU,1594344651
Olafsvik,-23.71,64.89,51.03,76,81,7.49,IS,1594344783
Karratha,116.85,-20.74,77.13,22,5,23.11,AU,1594344783
Tsimmerbude,20.13,54.67,57.2,93,90,8.95,RU,1594344784
Gazojak,61.4,41.19,81.7,33,0,11.12,TM,1594344784
